DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsFullReplicaFor,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,msDS-AuthenticatedAtDC,member,managedObjects,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dNSProperty,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,givenName,userPrincipalName,msDS-PSOApplied,msDS-MaximumPasswordAge,msDS-MinimumPasswordAge,msDS-MinimumPasswordLength,msDS-PasswordHistoryLength,msDS-PasswordComplexityEnabled,msDS-PasswordReversibleEncryptionEnabled,msDS-LockoutObservationWindow,msDS-LockoutDuration,msDS-LockoutThreshold,msDS-PSOAppliesTo,msDS-PasswordSettingsPrecedence,lastSetTime,priorSetTime,managedBy,msDS-KrbTgtLink,msDS-RevealedUsers,msDS-NeverRevealGroup,msDS-RevealOnDemandGroup,msDS-RevealedDSAs,msDS-AuthenticatedToAccountlist,msDS-SecondaryKrbTgtNumber,msDS-KrbTgtLinkBl,sn,l,department,company,gPCUserExtensionNames,uNCName,serverName,portName,driverName,priority,printStartTime,printEndTime,printBinNames,printMaxResolutionSupported,printOrientationsSupported,printCollate,printColor,printLanguage,printShareName,printSpooling,printKeepPrintedJobs,driverVersion,printMaxXExtent,printMaxYExtent,printMinXExtent,printMinYExtent,printStaplingSupported,printMemory,printRateUnit,printMediaReady,printNumberUp,printMediaSupported,printerName,url,shortServerName,printDuplexSupported,printAttributes,msDFS-SchemaMajorVersion,msDFS-SchemaMinorVersion,msDFS-GenerationGUIDv2,msDFS-NamespaceIdentityGUIDv2,msDFS-LastModifiedv2,msDFS-Ttlv2,msDFS-Propertiesv2,msDFS-TargetListv2,msDFSR-TombstoneExpiryInMin,msDFSR-Schedule,msDFSR-RootSizeInMb,msDFSR-StagingSizeInMb,msDFSR-ConflictPath,msDFSR-ConflictSizeInMb,msDFSR-CachePolicy,msDFSR-MinDurationCacheInMin,msDFSR-MaxAgeInCacheInMin,fromServer,msDFSR-RdcEnabled,msDFSR-RdcMinFileSizeInKb
"CN=Ales Ruzicka,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Ales Ruzicka,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41902,,,43426,Ales Ruzicka,X'4dd4df6f1cf6f3478eacee3bc3391fba',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f16d050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Ales Ruzicka,,,,,Ales Ruzicka,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195251607651,513,,9223372036854775807,0,Ales,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ales,Ales@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Ruzicka,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Miguel Saenz,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Miguel Saenz,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41905,,,43429,Miguel Saenz,X'159097eed55b874bb8cc22ef4defc0a3',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f16e050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Miguel Saenz,,,,,Miguel Saenz,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195252076413,513,,9223372036854775807,0,Miguel,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel,Miguel@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Saenz,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Mandar Samant,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Mandar Samant,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41908,,,43432,Mandar Samant,X'5d5b5f1d79d63d4f9d4c282b2b2e7203',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f16f050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Mandar Samant,,,,,Mandar Samant,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195252388905,513,,9223372036854775807,0,Mandar,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandar,Mandar@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Samant,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Tihomir Sasic,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Tihomir Sasic,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41911,,,43435,Tihomir Sasic,X'32e15adfe38a6447b1fb4bf6cf7ea7bb',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f170050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Tihomir Sasic,,,,,Tihomir Sasic,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195252701417,513,,9223372036854775807,0,Tihomir,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tihomir,Tihomir@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Sasic,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Kazuki Sawanoi,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Kazuki Sawanoi,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41914,,,43438,Kazuki Sawanoi,X'534d8c25f0f1b942835eced53ce33c1b',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f171050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Kazuki Sawanoi,,,,,Kazuki Sawanoi,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195253170144,513,,9223372036854775807,0,Kazuki,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazuki,Kazuki@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Sawanoi,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=George Schaller,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=George Schaller,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41917,,,43441,George Schaller,X'6617f80dc505554cb8d8701546d99842',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f172050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,George Schaller,,,,,George Schaller,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195253638894,513,,9223372036854775807,0,George,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George,George@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Schaller,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Thorsten Scholl,OU=IT,OU=firm,DC=csa,DC=local",user,"CN=Thorsten Scholl,OU=IT,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41920,,,43444,Thorsten Scholl,X'5fe79bb2a5d0624e84da045c1dd73460',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f173050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Thorsten Scholl,,,,,Thorsten Scholl,,,,,,,,,,,,,,,,,,"CN=IT,OU=IT,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195253951800,513,,9223372036854775807,0,Thorsten,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thorsten,Thorsten@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Scholl,London,IT,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Andreas Schou,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Andreas Schou,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41923,,,43447,Andreas Schou,X'42f85e1fdc8cc241a89a8bd707a4854f',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f174050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Andreas Schou,,,,,Andreas Schou,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195254264213,513,,9223372036854775807,0,Andreas,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas,Andreas@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Schou,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Chris Sells,OU=Research,OU=firm,DC=csa,DC=local",user,"CN=Chris Sells,OU=Research,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41926,,,43450,Chris Sells,X'd8dc1bd36c69264780db6ff21c7366b3',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f175050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Chris Sells,,,,,Chris Sells,,,,,,,,,,,,,,,,,,"CN=Research,OU=Research,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195254732948,513,,9223372036854775807,0,Chris,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris,Chris@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Sells,London,Research,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Osama Shabaneh,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Osama Shabaneh,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41929,,,43453,Osama Shabaneh,X'e225bb3cbdaeb447ae0be526e5e04680',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f176050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Osama Shabaneh,,,,,Osama Shabaneh,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195255045481,513,,9223372036854775807,0,Osama,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osama,Osama@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shabaneh,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Niraj Shah,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Niraj Shah,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41932,,,43456,Niraj Shah,X'6d049329d875e145bbf9c798e47a7279',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f177050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Niraj Shah,,,,,Niraj Shah,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195255513894,513,,9223372036854775807,0,Niraj,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niraj,Niraj@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shah,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Ruslan Shashkov,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Ruslan Shashkov,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41935,,,43459,Ruslan Shashkov,X'4cdb4087897ac74a83286c2d0802eefa',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f178050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Ruslan Shashkov,,,,,Ruslan Shashkov,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195255826389,513,,9223372036854775807,0,Ruslan,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruslan,Ruslan@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shashkov,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Rhae-Christie Shaw,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Rhae-Christie Shaw,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41938,,,43462,Rhae-Christie Shaw,X'7c0c3e0f526fba41b3f46a38109cc348',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f179050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Rhae-Christie Shaw,,,,,Rhae-Christie Shaw,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195256295438,513,,9223372036854775807,0,Rhae-Christie,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhae-Christie,Rhae-Christie@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shaw,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Kazuto Shibata,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Kazuto Shibata,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41941,,,43465,Kazuto Shibata,X'b4c49a2d46b3844ca4198150ea48b7a5',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17a050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Kazuto Shibata,,,,,Kazuto Shibata,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195256607640,513,,9223372036854775807,0,Kazuto,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazuto,Kazuto@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shibata,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Shish Shridhar,OU=IT,OU=firm,DC=csa,DC=local",user,"CN=Shish Shridhar,OU=IT,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516090027.0Z,,41944,,,43827,Shish Shridhar,X'81aec769dbc62f48b3254cdf56324daa',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17b050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Shish Shridhar,,,,,Shish Shridhar,,,,,,,,,,,,,,,,,,"CN=IT,OU=IT,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195256921158,513,,9223372036854775807,0,Shish,805306368,133603236279935143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shish,Shish@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Shridhar,London,IT,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Alexandre Silva,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Alexandre Silva,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41947,,,43471,Alexandre Silva,X'60f7f25dbdef624aba7eb9eb19588ac0',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17c050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Alexandre Silva,,,,,Alexandre Silva,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195257388901,513,,9223372036854775807,0,Alexandre,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandre,Alexandre@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Silva,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Edmund Silva,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Edmund Silva,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41950,,,43474,Edmund Silva,X'd3305c8a67a3c14ca782bee14bd460e0',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17d050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Edmund Silva,,,,,Edmund Silva,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195257701383,513,,9223372036854775807,0,Edmund,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmund,Edmund@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Silva,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Katherine Simpson,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Katherine Simpson,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41953,,,43477,Katherine Simpson,X'dd79d3306636b14392797c448be1a136',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17e050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Katherine Simpson,,,,,Katherine Simpson,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195258170125,513,,9223372036854775807,0,Katherine,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katherine,Katherine@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Simpson,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Gurinder Singh,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Gurinder Singh,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41956,,,43480,Gurinder Singh,X'0a777a77d0b64f4bbec43ad5daeccce8',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f17f050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Gurinder Singh,,,,,Gurinder Singh,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195258482626,513,,9223372036854775807,0,Gurinder,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gurinder,Gurinder@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Singh,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Ashima Singhal,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Ashima Singhal,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41959,,,43483,Ashima Singhal,X'8b10f24d7c1b4147a7181856ffe7db7c',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f180050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Ashima Singhal,,,,,Ashima Singhal,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195258951384,513,,9223372036854775807,0,Ashima,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashima,Ashima@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Singhal,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Denise Smith,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Denise Smith,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075205.0Z,,41962,,,43486,Denise Smith,X'1220a1412a882244aba4e61d98e0a0d5',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f181050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Denise Smith,,,,,Denise Smith,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195259264186,513,,9223372036854775807,0,Denise,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denise,Denise@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Smith,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Tony Smith,OU=IT,OU=firm,DC=csa,DC=local",user,"CN=Tony Smith,OU=IT,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075206.0Z,,41965,,,43489,Tony Smith,X'832a9ae3d16cca41b6e38cf7c1e22037',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f182050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Tony Smith,,,,,Tony Smith,,,,,,,,,,,,,,,,,,"CN=IT,OU=IT,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195259732884,513,,9223372036854775807,0,Tony,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony,Tony@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Smith,London,IT,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=David So,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=David So,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075147.0Z,20240516075206.0Z,,41968,,,43492,David So,X'aad5da44063af8469332269100ff5077',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f183050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,David So,,,,,David So,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195260046051,513,,9223372036854775807,0,David,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,David@csa.local,,,,,,,,,,,,,,,,,,,,,,,,So,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
