DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=Hyper-V Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Hyper-V Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,8229,,,,8229,Hyper-V Administrators,X'ee535839bb2be442b39e791ded521962',,,,,,,,,,,,,,X'01020000000000052000000042020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Hyper-V Administrators,Members of this group have complete and unrestricted access to all features of Hyper-V.,,,,,,,,,,,,,,,,,,,,,,,Hyper-V Administrators,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Access Control Assistance Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Access Control Assistance Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,8230,,,,8230,Access Control Assistance Operators,X'c752c929d9094e43a0e3707e07989a0d',,,,,,,,,,,,,,X'01020000000000052000000043020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Access Control Assistance Operators,Members of this group can remotely query authorization attributes and permissions for resources on this computer.,,,,,,,,,,,,,,,,,,,,,,,Access Control Assistance Operators,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Remote Management Users,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Remote Management Users,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,8231,,,,8231,Remote Management Users,X'80d6284f9e3d7445945837661c669d46',,,,,,,,,,,,,,X'01020000000000052000000044020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Remote Management Users,Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.,,,,,,,,,,,,,,,,,,,,,,,Remote Management Users,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Storage Replica Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Storage Replica Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,8232,,,,8232,Storage Replica Administrators,X'b7af3db62cc7e24b8de79a7533277d89',,,,,,,,,,,,,,X'01020000000000052000000046020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Storage Replica Administrators,Members of this group have complete and unrestricted access to all features of Storage Replica.,,,,,,,,,,,,,,,,,,,,,,,Storage Replica Administrators,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Server,CN=System,DC=Kredit,DC=Dylan,DC=local",samServer,"CN=Server,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064844.0Z,,8233,,,,12770,Server,X'25d031751ab0814396950ae1cfb1e14d',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Sam-Server,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Server,,TRUE,,,,,,,,65544,,,,,,,,,,,,,,,,,,,X'feff0f',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",computer,"CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419064333.0Z,20240419064915.0Z,,12293,,,,12771,DC1,X'aa5aa5c8cee1db4a957b25d8fd938b5b',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf3e8030000',,,,,,,,,,"CN=Computer,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,DC1,,,,,,,,,,,,532480,0,0,0,0,0,133579940929384262,133579826425518821,516,,9223372036854775807,16,DC1$,805306369,133579826542034661,,,,0,Windows Server 2019 Standard Evaluation,10.0 (17763),"CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",DC1.Kredit.Dylan.local,"CN=RID Set,CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC1.Kredit.Dylan.local;TERMSRV/DC1;TERMSRV/DC1.Kredit.Dylan.local;ldap/DC1.Kredit.Dylan.local/ForestDnsZones.Kredit.Dylan.local;ldap/DC1.Kredit.Dylan.local/DomainDnsZones.Kredit.Dylan.local;DNS/DC1.Kredit.Dylan.local;GC/DC1.Kredit.Dylan.local/Kredit.Dylan.local;RestrictedKrbHost/DC1.Kredit.Dylan.local;RestrictedKrbHost/DC1;RPC/f3af5166-9c9c-43e6-b8b7-2a7b420d8e80._msdcs.Kredit.Dylan.local;HOST/DC1/KREDIT;HOST/DC1.Kredit.Dylan.local/KREDIT;HOST/DC1;HOST/DC1.Kredit.Dylan.local;HOST/DC1.Kredit.Dylan.local/Kredit.Dylan.local;E3514235-4B06-11D1-AB04-00C04FC2DCD2/f3af5166-9c9c-43e6-b8b7-2a7b420d8e80/Kredit.Dylan.local;ldap/DC1/KREDIT;ldap/f3af5166-9c9c-43e6-b8b7-2a7b420d8e80._msdcs.Kredit.Dylan.local;ldap/DC1.Kredit.Dylan.local/KREDIT;ldap/DC1;ldap/DC1.Kredit.Dylan.local;ldap/DC1.Kredit.Dylan.local/Kredit.Dylan.local,28,"CN=DC1,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=krbtgt,CN=Users,DC=Kredit,DC=Dylan,DC=local",user,"CN=krbtgt,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064333.0Z,20240419065844.0Z,,12324,,,,12916,krbtgt,X'0dbfd8dbe6eeb74d9cffcbddac6d0708',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf3f6010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,krbtgt,Key Distribution Center Service Account,TRUE,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",514,0,0,0,0,0,0,133579826139916728,513,1,9223372036854775807,0,krbtgt,805306368,,,,,,,,,,,kadmin/changepw,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Computers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Domain Computers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12330,,,,12332,Domain Computers,X'4479cc8fffb40a4ea53b9e951286f55e',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf303020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Domain Computers,All workstations and servers joined to the domain,,,,,,,,,,,,,,,,,,,,,,,Domain Computers,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12333,,,,12918,Domain Controllers,X'997cab065ba39144b0fcdfbb836d2ce1',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf304020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Domain Controllers,All domain controllers in the domain,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,1,,,Domain Controllers,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Schema Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Schema Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12336,,,,12901,Schema Admins,X'4bdca27e01d52a46bc56afc472a8e313',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf306020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Schema Admins,Designated administrators of the schema,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,1,,,Schema Admins,268435456,,"CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Enterprise Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Enterprise Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12339,,,,12902,Enterprise Admins,X'52084348d544c143bef74ffea9cdad4c',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf307020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Enterprise Admins,Designated administrators of the enterprise,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,1,,,Enterprise Admins,268435456,,"CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Cert Publishers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Cert Publishers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12342,,,,12344,Cert Publishers,X'd1f16682108fc148b69170a46efd28c7',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf305020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Cert Publishers,Members of this group are permitted to publish certificates to the directory,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,Cert Publishers,536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Domain Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419084032.0Z,,12345,,,,13763,Domain Admins,X'cb5ad6062f9518409e17b256387f619f',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf300020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Domain Admins,Designated administrators of the domain,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,1,,,Domain Admins,268435456,,"CN=Admin Billy Gator,OU=Administrators,OU=System Afdelinger,OU=Kredit,DC=Kredit,DC=Dylan,DC=local;CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Users,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Domain Users,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12348,,,,12350,Domain Users,X'066dea64077127489d24e8253c697be5',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf301020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Domain Users,All domain users,,,,,,,,,,"CN=Users,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,Domain Users,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Domain Guests,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Domain Guests,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12351,,,,12353,Domain Guests,X'6f65a11c4c7913429b6245e8a9d75088',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf302020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Domain Guests,All domain guests,,,,,,,,,,"CN=Guests,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,Domain Guests,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Group Policy Creator Owners,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Group Policy Creator Owners,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12354,,,,12391,Group Policy Creator Owners,X'8c07d8d263ab6b4e8a5f5da39f9c6f58',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf308020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Group Policy Creator Owners,Members in this group can modify group policy for the domain,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,Group Policy Creator Owners,268435456,,"CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RAS and IAS Servers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=RAS and IAS Servers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12357,,,,12359,RAS and IAS Servers,X'c63a5ce6269ecc4eb5e13d6597ecbdd6',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf329020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,RAS and IAS Servers,Servers in this group can access remote access properties of users,,,,,,,,,,,,,,,,,,,,,,,RAS and IAS Servers,536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Server Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Server Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12360,,,,12908,Server Operators,X'41acdfeb941190428b5947189a843de6',,,,,,,,,,,,,,X'01020000000000052000000025020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Server Operators,Members can administer domain servers,,,,,,,,,,,,,,,,,,,,1,,,Server Operators,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Account Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Account Operators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12363,,,,12909,Account Operators,X'46059db409686d45859842633a041f9b',,,,,,,,,,,,,,X'01020000000000052000000024020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Account Operators,Members can administer domain user and group accounts,,,,,,,,,,,,,,,,,,,,1,,,Account Operators,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12366,,,,12393,Pre-Windows 2000 Compatible Access,X'3a82112ff838ea47a9c4c69a616e6623',,,,,,,,,,,,,,X'0102000000000005200000002a020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Pre-Windows 2000 Compatible Access,A backward compatibility group which allows read access on all users and groups in the domain,,,,,,,,,,,,,,,,,,,,,,,Pre-Windows 2000 Compatible Access,536870912,,"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Incoming Forest Trust Builders,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12369,,,,12371,Incoming Forest Trust Builders,X'9079bac850c99e46ad13f39be3eeb8fa',,,,,,,,,,,,,,X'0102000000000005200000002d020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Incoming Forest Trust Builders,"Members of this group can create incoming, one-way trusts to this forest",,,,,,,,,,,,,,,,,,,,,,,Incoming Forest Trust Builders,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows Authorization Access Group,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Windows Authorization Access Group,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12372,,,,12396,Windows Authorization Access Group,X'01333fd7e7bff74b8856bd4681cf81fd',,,,,,,,,,,,,,X'01020000000000052000000030020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Windows Authorization Access Group,Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects,,,,,,,,,,,,,,,,,,,,,,,Windows Authorization Access Group,536870912,,"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Terminal Server License Servers,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Terminal Server License Servers,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12375,,,,12377,Terminal Server License Servers,X'3166cdcffcf7684ab66ad44dcc269579',,,,,,,,,,,,,,X'01020000000000052000000031020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Terminal Server License Servers,"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage",,,,,,,,,,,,,,,,,,,,,,,Terminal Server License Servers,536870912,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",foreignSecurityPrincipal,"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,S-1-5-9,X'415b2df448b9e54daeff8cee3c382b69',,,,,,,,,,,,,,X'010100000000000509000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,S-1-5-9,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6E157EDF-4E72-4052-A82A-EC3F91021A22,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=6E157EDF-4E72-4052-A82A-EC3F91021A22,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12397,,,,12397,6E157EDF-4E72-4052-A82A-EC3F91021A22,X'0d16fd3ba05d0b47bef3432da34a81ff',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,6E157EDF-4E72-4052-A82A-EC3F91021A22,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Allowed RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Allowed RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12402,,,,12404,Allowed RODC Password Replication Group,X'bd4114213ca42e4b80897839f0af8c2b',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf33b020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Allowed RODC Password Replication Group,Members in this group can have their passwords replicated to all read-only domain controllers in the domain,,,,,,,,,,,,,,,,,,,,,,,Allowed RODC Password Replication Group,536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12405,,,,12433,Denied RODC Password Replication Group,X'524a1138593a864c84e47a98309dd7f6',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf33c020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Denied RODC Password Replication Group,Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain,,,,,,,,,,,,,,,,,,,,,,,Denied RODC Password Replication Group,536870912,,"CN=Read-only Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Group Policy Creator Owners,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Domain Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Cert Publishers,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Enterprise Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Schema Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=krbtgt,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Read-only Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Read-only Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12419,,,,12919,Read-only Domain Controllers,X'b2e918f288526f4c933c036fb4c1590f',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf309020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Read-only Domain Controllers,Members of this group are Read-Only Domain Controllers in the domain,,,,,,,,,,"CN=Denied RODC Password Replication Group,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,1,,,Read-only Domain Controllers,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
